,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,OccupancyId,ClientId,ClientIdText,ClientPropertyId,PropertyName,StreetNumber,StreetPrefix,StreetName,StreetType,StreetSuffix,Address2,Suite,City,State,ZipCode,DistrictCode,DistrictText,APN,County,Township,ZoneCode,ZoneText,Longitude,Latitude,FixedPropertyUseCode,FixedPropertyUseText,FloorsAboveGround,FloorsBelowGround,PropertyOccupantLoad,PropertySquarefoot,MixedUseCode,MixedUseText,PropertyOwnershipCode,PropertyOwnershipText,RoofCoveringCode,RoofCoveringText,StructureTypeCode,StructureTypeText,ConstructionTypeCode,ConstructionTypeDriscription,BuildingStatusCode,BuildingStatusText,DetectorPresentCode,DetectorPresentText,DetectorPowerCode,DetectorPowerText,DetectorTypeCode,DetectorTypeText,AutomaticExtinguishingCode,AutomaticExtinguishingText,AutomaticExtinguishingTypeCode,AutomaticExtingushingTypeText,AutomaticExtinguishingNumberOfHeads,StationCode,StationText,InspectionDistrictCode,InspectionDistrictText,BuildingClassCode,BuildingClassText,ConstructionCompletedDate,PropertyNotes,BusinessPermit,LastInspectionDate,LastInspectionId,isVacantProperty,isMergedProperty,isDeletedProperty,AHJCode,AHJText,DefaultInspectionTypeCode,DefaultInspectionTypeDescrition,ComplexMainId,NumberOfUnits,PropertyCreationDate,PropertyCategory,ErrorCode,ErrorMessage
10,10.0,10.0,10.0,135454,40,WA-27D03,309C-003-002-201,Sea Mar Family Medicine,7424,,Bridgeport,Way,W,,Suite 201,Lakewood,WA,98499-8120,CREW,Crew,309C,Pierce,,,,-122.51986,47.18975,500,"Mercantile, business, Other",2.0,0.0,0.0,1450.0,,,1,Private,,,,,,,5,Vacant and secured,,,,,,,,,,,0.0,21.0,Station 21,,,B,B,0001-01-01T00:00:00,,,2019-11-27T15:18:07,253625.0,True,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
11,11.0,11.0,11.0,135462,40,WA-27D03,309C-003-003-305,Sea Mar Behavioral Health Child and Family,7424,,Bridgeport,Way,W,,Suite 305,Lakewood,WA,98499-8120,CREW,Crew,309C,Pierce,,,,-122.51986,47.18975,340,"Clinics, doctors offices, hemodialysis cntr, othe",0.0,0.0,14.0,2000.0,33,Medical use,1,Private,,,1.0,Enclosed building,6.0,III-B Unprotected Combustible,5,Vacant and secured,0,None Present,,,,,0,None Present,,,0.0,21.0,Station 21,CREW,Crew,B,B,0001-01-01T00:00:00,,,2022-01-07T10:44:15.593,1519186.0,True,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
12,12.0,12.0,12.0,135463,40,WA-27D03,309C-003-003-307,"Teresa Clabots, M.D.",7424,,Bridgeport,Way,W,,Suite 307,Lakewood,WA,98499-8120,CREW,Crew,309C,Pierce,,,,-122.51986,47.18975,340,"Clinics, doctors offices, hemodialysis cntr, othe",0.0,0.0,0.0,760.0,,,1,Private,,,,,,,5,Vacant and secured,,,,,,,,,,,0.0,21.0,Station 21,,,B,B,0001-01-01T00:00:00,,,2018-11-01T10:04:09,253649.0,True,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
13,13.0,13.0,13.0,135465,40,WA-27D03,309C-003-003-311,Veterans Evaluation Services,7424,,Bridgeport,Way,W,,Suite 311,Lakewood,WA,98499-8120,CREW,Crew,309C,Pierce,,,,-122.519783,47.189721,599,Business office,3.0,0.0,0.0,1000.0,,,1,Private,,,,,,,5,Vacant and secured,,,,,,,,,,,0.0,21.0,Station 21,,,B,B,0001-01-01T00:00:00,,,2018-11-01T10:11:05,253651.0,True,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
14,14.0,14.0,14.0,135469,40,WA-27D03,309C-005-000-002,Harkness Law Firm,7512,,Bridgeport,Way,W,,B,Lakewood,WA,98499-8377,CREW,Crew,309C,Pierce,,,,-122.518473,47.189216,599,Business office,0.0,0.0,0.0,1000.0,,,1,Private,,,,,,,2,In normal use,,,,,,,,,,,0.0,21.0,Station 21,,,B,B,0001-01-01T00:00:00,,,2018-11-01T10:28:18,253655.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
15,15.0,15.0,15.0,135470,40,WA-27D03,309C-006-000-001,Ms Beautiful Me,7516,,Bridgeport,Way,W,,A,Lakewood,WA,98499-8448,CREW,Crew,309C,Pierce,,,,-122.518472,47.189177,557,"Personal service, including barber & beauty shops",0.0,0.0,0.0,2520.0,,,1,Private,,,,,,,2,In normal use,,,,,,,,,,,0.0,21.0,Station 21,,,B,B,0001-01-01T00:00:00,,,2019-11-27T15:45:56,471620.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
16,16.0,16.0,16.0,135471,40,WA-27D03,309C-006-000-002,Massage At The Ritz,7516,,Bridgeport,Way,W,,Suite B,Lakewood,WA,98499-8448,CREW,Crew,309C,Pierce,,,,-122.51891,47.18837,557,"Personal service, including barber & beauty shops",1.0,0.0,0.0,2520.0,NN,Not mixed use,1,Private,2.0,Composition Shingles,1.0,Enclosed building,9.0,V-B Unprotected Wood Frame,2,In normal use,0,None Present,,,,,0,None Present,,,0.0,21.0,Station 21,,,B,B,0001-01-01T00:00:00,,,2018-11-01T10:44:00,253657.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
17,17.0,17.0,17.0,135472,40,WA-27D03,309C-007-000-000,American Mutual Mortgage ,7521,,Bridgeport,Way,W,,Suite A,Lakewood,WA,98499-2423,CREW,Crew,309C,Pierce,,,,-122.51818,47.18844,599,Business office,1.0,0.0,0.0,1695.0,NN,Not mixed use,1,Private,2.0,Composition Shingles,1.0,Enclosed building,9.0,V-B Unprotected Wood Frame,2,In normal use,0,None Present,,,,,0,None Present,,,0.0,21.0,Station 21,,,B,B,0001-01-01T00:00:00,,,2018-10-25T16:20:50,253658.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
18,18.0,18.0,18.0,135473,40,WA-27D03,309C-007-000-001,Makin Some Vapes,7521,,Bridgeport,Way,W,,Suite B,Lakewood,WA,98499-2423,CREW,Crew,309C,Pierce,,,,-122.51797,47.18845,599,Business office,1.0,0.0,0.0,1695.0,NN,Not mixed use,1,Private,2.0,Composition Shingles,1.0,Enclosed building,9.0,V-B Unprotected Wood Frame,2,In normal use,0,None Present,,,,,0,None Present,,,0.0,21.0,Station 21,,,B,B,0001-01-01T00:00:00,,,2018-10-25T15:59:42,253659.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
19,19.0,19.0,19.0,135477,40,WA-27D03,309C-010-000-000,Roof therapy,6003,,76th,St,W,,,Lakewood,WA,98499-8412,CREW,Crew,309C,Pierce,,,,-122.516368,47.188362,500,"Mercantile, business, Other",0.0,0.0,0.0,2597.0,,,1,Private,,,,,,,2,In normal use,,,,,,,,,,,0.0,21.0,Station 21,,,B,B,0001-01-01T00:00:00,,,2018-11-07T10:50:02,253634.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
20,20.0,20.0,20.0,135478,40,WA-27D03,309C-011-000-000,Bouchee Rv Storage Lot,7509,,Hudson,St,W,,,Lakewood,WA,98499-8413,CREW,Crew,309C,Pierce,,,,-122.517651,47.189262,880,"Vehicle storage, Other",0.0,0.0,0.0,500.0,,,1,Private,,,0.0,"Structure type, Other",,,2,In normal use,,,,,,,,,,,0.0,21.0,Station 21,CREW,Crew,U,U,0001-01-01T00:00:00,"Fenced in parking lot, no building.",,2018-03-21T14:40:28,253662.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
21,21.0,21.0,21.0,135479,40,WA-27D03,309C-012-000-000,Chambers Creek Collision,7501,,Hudson,St,W,,,Lakewood,WA,98499-8413,PREV,Prevention,309C,Pierce,,,,-122.517654,47.189334,549,Specialty shop,1.0,0.0,0.0,4176.0,NN,Not mixed use,1,Private,0.0,Roof Covering Undetermined/Not Reported,1.0,Enclosed building,9.0,V-B Unprotected Wood Frame,2,In normal use,0,None Present,,,,,2,Partial System Present,0,"Special hazard system, Other",0.0,21.0,Station 21,PREV,Prevention,S-1,S-1,0001-01-01T00:00:00,"Spray booth system in detached garage. Paint room in main building door signed with Danger, Flammable Material.",None listed,2020-09-03T12:05:13.607,850253.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
22,22.0,22.0,22.0,135480,40,WA-27D03,309C-013-000-000,Mutual Material,5915,,75th,St,W,,,Lakewood,WA,98499-8139,CREW,Crew,309C,Pierce,,,,-122.513968,47.190162,700,"Manufacturing, processing",1.0,0.0,0.0,4160.0,NN,Not mixed use,1,Private,0.0,Roof Covering Undetermined/Not Reported,3.0,Open structure,9.0,V-B Unprotected Wood Frame,2,In normal use,1,Present,4,Hardwire with battery backup,,,13,NFPA 13 Hydraulic System,2,Dry-pipe sprinkler,0.0,21.0,Station 21,,,F-2,F-2,0001-01-01T00:00:00,FACP in concrete plant. Horns and Strobes only in Plant. H/S seem attached too low on wall. Many are blocked by manufacturing equipment so strobe is not maximized.,,2020-06-24T19:05:35.017,1006493.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
23,23.0,23.0,23.0,135483,40,WA-27D03,309C-016-000-000,Stonegate Apartments,7119,,62nd,Ave,W,,,Lakewood,WA,98499-8123,CREW,Crew,309C,Pierce,,,,-122.519673,47.192328,429,Multifamily dwelling,0.0,0.0,0.0,103662.0,40,Residential use,1,Private,,,,,,,2,In normal use,,,,,,,,,,,0.0,21.0,Station 21,CREW,Crew,R-2,R-2,0001-01-01T00:00:00,,,2024-02-12T11:45:22.597,2198663.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
24,24.0,24.0,24.0,135486,40,WA-27D03,309C-019-000-000,(Shell) Flett Creek Professional Bldg.,6210,,75th,St,W,,,Lakewood,WA,98499-8303,PREV,Prevention,309C,Pierce,,,,-122.519661,47.188723,500,"Mercantile, business, Other",2.0,1.0,0.0,11440.0,,,1,Private,,,,,,,2,In normal use,1,Present,2,Hardwire only,3,Combination smoke & heat in a single unit,,,,,0.0,21.0,Station 21,PREV,Prevention,SHELL,Shell,0001-01-01T00:00:00,"John Costanti = 253-495-2234
Leasing company = 253-589-9999

",,2024-02-28T10:46:01.903,2198664.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
25,25.0,25.0,25.0,135487,40,WA-27D03,309C-019-000-001,Creekside Chiropractic Center,6210,,75th,St,W,,A-100,Lakewood,WA,98499-8303,CREW,Crew,309C,Pierce,,,,-122.52084,47.189327,340,"Clinics, doctors offices, hemodialysis cntr, othe",0.0,0.0,0.0,1500.0,,,1,Private,,,,,,,2,In normal use,,,,,,,,,,,0.0,21.0,Station 21,,,B,B,0001-01-01T00:00:00,,,2018-11-05T14:14:55,253637.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
26,26.0,26.0,26.0,135488,40,WA-27D03,309C-019-000-005,Center for Autism and related disorders,6210,,75th,St,W,,B-100,Lakewood,WA,98499-8303,CREW,Crew,309C,Pierce,,,,-122.52084,47.189327,340,"Clinics, doctors offices, hemodialysis cntr, othe",1.0,0.0,0.0,1000.0,,,1,Private,,,,,,,2,In normal use,,,,,,,,,,,0.0,21.0,Station 21,,,B,B,0001-01-01T00:00:00,,,2018-11-05T14:07:03,253638.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
27,27.0,27.0,27.0,135489,40,WA-27D03,309C-019-000-003,Rettig Flyte Company,6210,,75th,St,W,,A-200,Lakewood,WA,98499-8303,CREW,Crew,309C,Pierce,,,,-122.52084,47.189327,599,Business office,2.0,0.0,0.0,6500.0,,,1,Private,,,,,,,5,Vacant and secured,,,,,,,,,,,0.0,21.0,Station 21,,,B,B,0001-01-01T00:00:00,,,2018-11-05T13:53:42,253639.0,True,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
28,28.0,28.0,28.0,135490,40,WA-27D03,309C-020-000-000,Circle Creek,6212,,75th,St,W,,,Lakewood,WA,98499-8368,CREW,Crew,309C,Pierce,,,,-122.520842,47.189327,599,Business office,0.0,0.0,0.0,4832.0,,,1,Private,,,,,,,2,In normal use,,,,,,,,,,,0.0,21.0,Station 21,,,B,B,0001-01-01T00:00:00,,,2018-11-05T14:29:48,253640.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
29,29.0,29.0,29.0,135492,40,WA-27D03,309C-021-000-101,CDI Northwest,7308,,Bridgeport,Way,W,,101,Lakewood,WA,98499-8000,CREW,Crew,309C,Pierce,,,,-122.518511,47.191085,599,Business office,0.0,0.0,0.0,5000.0,,,1,Private,,,,,,,2,In normal use,,,,,,,,,,,0.0,21.0,Station 21,,,B,B,0001-01-01T00:00:00,,,2018-11-16T11:53:49,253647.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
30,30.0,30.0,30.0,135498,40,WA-27D03,309C-022-000-000,Walmart,7001,,Bridgeport,Way,W,,,Lakewood,WA,98499-8099,PREV,Prevention,309C,Pierce,,,,-122.517243,47.193954,581,Department or discount store,1.0,0.0,0.0,184139.0,59,Office use,1,Private,7.0,Built-Up,1.0,Enclosed building,4.0,II-B Unprotected Non-Combustible,2,In normal use,1,Present,4,Hardwire with battery backup,5,More than one type present,1,Present,M,Multiple type systems present,0.0,21.0,Station 21,PREV,Prevention,M,M,0001-01-01T00:00:00,James Kehm Asset Protection Manager.,,2024-02-01T07:53:39.783,1990817.0,False,False,False,,,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
31,31.0,31.0,31.0,135499,40,WA-27D03,309C-023-000-000,(Shell) Flett Creek Plaza,7602,,Bridgeport,Way,W,,,Lakewood,WA,98499-2415,PREV,Prevention,309C,Pierce,,,,-122.518987,47.188087,500,"Mercantile, business, Other",4.0,0.0,0.0,15453.0,59,Office use,1,Private,7.0,Built-Up,0.0,"Structure type, Other",9.0,V-B Unprotected Wood Frame,2,In normal use,1,Present,4,Hardwire with battery backup,4,"Sprinkler, water flow detection",13,NFPA 13 Hydraulic System,1,Wet-pipe sprinkler,0.0,21.0,Station 21,PREV,Prevention,SHELL,Shell,0001-01-01T00:00:00,,,2023-10-20T11:55:25.427,2103537.0,False,False,False,,,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
32,32.0,32.0,32.0,135501,40,WA-27D03,309C-023-002-002,Psa Healthcare,7602,,Bridgeport,Way,W,,2B,Lakewood,WA,98499-2415,CREW,Crew,309C,Pierce,,,,-122.518443,47.188339,340,"Clinics, doctors offices, hemodialysis cntr, othe",0.0,0.0,0.0,1736.0,,,1,Private,,,,,,,2,In normal use,,,,,,,,,,,0.0,21.0,Station 21,,,B,B,0001-01-01T00:00:00,,,2018-11-01T10:35:58,253665.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
33,33.0,33.0,33.0,135502,40,WA-27D03,309C-023-004-001,Bruce Allen financial,7602,,Bridgeport,Way,W,,4A,Lakewood,WA,98499-2415,CREW,Crew,309C,Pierce,,,,-122.518443,47.188339,599,Business office,0.0,0.0,0.0,0.0,,,1,Private,,,,,,,2,In normal use,,,,,,,,,,,0.0,21.0,Station 21,,,B,B,0001-01-01T00:00:00,,,2018-11-01T10:29:58,253666.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
34,34.0,34.0,34.0,135503,40,WA-27D03,309C-023-004-002,Collins Insurance Agency,7602,,Bridgeport,Way,W,,4B,Lakewood,WA,98499-2415,CREW,Crew,309C,Pierce,,,,-122.518443,47.188339,599,Business office,0.0,0.0,0.0,1600.0,,,1,Private,,,,,,,2,In normal use,,,,,,,,,,,0.0,21.0,Station 21,,,B,B,0001-01-01T00:00:00,,,2018-11-01T10:24:48,253667.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
35,35.0,35.0,35.0,135504,40,WA-27D03,309C-024-000-000,Residential housing,7518,,Bridgeport,Way,W,,,Lakewood,WA,98499-8377,RES,Residential,309C,Pierce,,,,-122.518471,47.189158,419,1 or 2 family dwelling,0.0,0.0,0.0,3293.0,,,1,Private,,,,,,,2,In normal use,,,,,,,,,,,0.0,21.0,Station 21,RES,Residential,SFR,Single Family Residence,0001-01-01T00:00:00,"<p class=""p1""><span class=""s1"">Remove from Co. inspection list.<span class=""Apple-converted-space"">&nbsp;&nbsp;</span></span></p>",,2024-02-28T10:46:29.297,2198673.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial/Community Risk,0,
36,36.0,36.0,36.0,135509,40,WA-27D03,310D-003-003-000,Classic Coffee,7609,,Custer,Rd,W,,B,Lakewood,WA,98499-8399,CREW,Crew,310D,Pierce,,,,-122.513921,47.188665,160,"Eating, drinking places, other",0.0,0.0,0.0,1599.0,,,1,Private,,,,,,,2,In normal use,,,,,,,,,,,0.0,21.0,Station 21,CREW,Crew,B,B,0001-01-01T00:00:00,,,2024-01-17T10:51:00.007,2152076.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
37,37.0,37.0,37.0,135510,40,WA-27D03,310D-005-000-000,Custer Road Veterinary Clinic,7616,,Custer,Rd,W,,,Lakewood,WA,98499-8400,CREW,Crew,310D,Pierce,,,,-122.513957,47.188644,593,Office:  veterinary or research,0.0,1.0,0.0,1332.0,,,1,Private,,,,,,,2,In normal use,,,,,,,,,,,0.0,21.0,Station 21,,,B,B,0001-01-01T00:00:00,,,2019-11-20T14:01:37,471627.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
38,38.0,38.0,38.0,135511,40,WA-27D03,310D-006-000-000,Storage For Custer Road Vet Clinic,7616,,Custer,Rd,W,,1/2,Lakewood,WA,98499-8400,CREW,Crew,310D,Pierce,,,,-122.513957,47.188644,800,"Storage, Other",1.0,0.0,0.0,1332.0,NN,Not mixed use,1,Private,2.0,Composition Shingles,1.0,Enclosed building,9.0,V-B Unprotected Wood Frame,2,In normal use,0,None Present,,,,,0,None Present,,,0.0,21.0,Station 21,,,S-2,S-2,0001-01-01T00:00:00,,,2019-11-20T14:24:19,471628.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
39,39.0,39.0,39.0,135513,40,WA-27D03,310D-008-000-000,South Bay Motor,7607,,Custer,Rd,W,,,Lakewood,WA,98499-8399,CREW,Crew,310D,Pierce,,,,-122.51391,47.188671,579,"Motor vehicle or boat sales, services, repair",0.0,0.0,0.0,1232.0,,,1,Private,,,,,,,2,In normal use,,,,,,,,,,,0.0,21.0,Station 21,CREW,Crew,S-1,S-1,0001-01-01T00:00:00,,,0001-01-01T00:00:00,,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
40,40.0,40.0,40.0,135517,40,WA-27D03,310D-012-000-000,Egghole,7502,,Custer,Rd,W,,,Lakewood,WA,98499-8145,CREW,Crew,310D,Pierce,,,,-122.513113,47.189123,160,"Eating, drinking places, other",0.0,0.0,8.0,792.0,58,Business and residential use,1,Private,,,,,,,2,In normal use,,,,,,,,,,,0.0,21.0,Station 21,CREW,Crew,B,B,0001-01-01T00:00:00,Drive up breakfast sandwich shop,,2024-01-23T14:17:55.013,2152077.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
